127.0.0.1 - - [03/Jan/2020:09:36:42 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:36:43 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 200 1437
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:36:43 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:39:09 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 200 1652
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:39:57 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 200 1652
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:40:00 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:40:00 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:40:01 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:40:01 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:40:01 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:40:02 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:40:03 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:40:03 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:40:08 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:40:08 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:09:40:08 +0900] "GET /clientweb/css/css_basic_test01.html HTTP/1.1" 304 -
